song_id,Title,album_id,Primary_Artist,Featuring_Artist(s),Release_Date,is_title_track,Language
1,"Intro: 2 Cool 4 Skool (feat. DJ Friz)",1,BTS,DJ Friz,12-06-2013,No,Korean
2,"We Are Bulletproof Pt.2",1,BTS,–,12-06-2013,No,Korean
3,"Skit: Circle Room Talk",1,BTS,–,12-06-2013,No,Korean
4,No More Dream,1,BTS,–,12-06-2013,Yes,Korean
5,"Interlude (그래도 좋은 날)",1,BTS,–,12-06-2013,No,Korean
6,"좋아요 (Like)"",1,BTS,–,12-06-2013,No,Korean
7,"Outro: Circle Room Cypher",1,BTS,–,12-06-2013,No,Korean
8,"Path (길) (Hidden Track)"",1,BTS,–,12-06-2013,No,Korean
9,"Intro: O!RUL8,2?",2,BTS,–,11-09-2013,No,Korean
10,"N.O",2,BTS,–,11-09-2013,Yes,Korean
11,We On,2,BTS,–,11-09-2013,No,Korean
12,"Skit: R U Happy Now?",2,BTS,–,11-09-2013,No,Korean
13,If I Ruled the World,2,BTS,–,11-09-2013,No,Korean
14,Coffee,2,BTS,–,11-09-2013,No,Korean
15,"BTS Cypher Pt.1",2,BTS,–,11-09-2013,No,Korean
16,"Attack on Bangtan (진격의 방탄)",2,BTS,–,11-09-2013,No,Korean
17,"팔도강산 (Paldogangsan) (Satoori Rap)",2,BTS,–,11-09-2013,No,Korean
18,"Outro: Luv In Skool",2,BTS,–,11-09-2013,No,Korean
19,"Intro: Skool Luv Affair",3,BTS,–,12-02-2014,No,Korean
20,"상남자 (Boy In Luv)"",3,BTS,–,12-02-2014,Yes,Korean
21,"Skit: Soulmate",3,BTS,–,12-02-2014,No,Korean
22,"어디에서 왔는지 (Where Did You Come From)",3,BTS,–,12-02-2014,No,Korean
23,"하루만 (Just One Day)"",3,BTS,–,12-02-2014,No,Korean
24,Tomorrow,3,BTS,–,12-02-2014,No,Korean
25,"BTS Cypher Pt.2: Triptych",3,BTS,–,12-02-2014,No,Korean
26,"등골브레이커 (Spine Breaker)",3,BTS,–,12-02-2014,No,Korean
27,Jump,3,BTS,–,12-02-2014,No,Korean
28,"Outro: Propose",3,BTS,–,12-02-2014,No,Korean
29,Miss Right,4,BTS,–,14-05-2014,No,Korean
30,"좋아요 (Slow Jam Remix)",4,BTS,–,14-05-2014,No,Korean
31,"Intro: What Am I To You",5,BTS,–,19-08-2014,No,Korean
32,Danger,5,BTS,–,19-08-2014,Yes,Korean
33,"호르몬 전쟁 (War of Hormone)",5,BTS,–,19-08-2014,No,Korean
34,"힙합성애자 (Hip Hop Lover)",5,BTS,–,19-08-2014,No,Korean
35,Let Me Know,5,BTS,–,19-08-2014,No,Korean
36,Rain,5,BTS,–,19-08-2014,No,Korean
37,"BTS Cypher Pt.3: Killer (feat. Supreme Boi)",5,BTS,Supreme Boi,19-08-2014,No,Korean
38,"Interlude: 뭐해 (What Are You Doing)",5,BTS,–,19-08-2014,No,Korean
39,"핸드폰 좀 꺼줄래요 (Could You Turn Off Your Cell Phone?)",5,BTS,–,19-08-2014,No,Korean
40,"이불킥 (Embarrassed) (Blanket Kick)",5,BTS,–,19-08-2014,No,Korean
41,"24/7=Heaven (이상하지 않은가?)",5,BTS,–,19-08-2014,No,Korean
42,"여기 봐 (Look Here)",5,BTS,–,19-08-2014,No,Korean
43,"2학년 (2nd Grade)",5,BTS,–,19-08-2014,No,Korean
44,"Outro: 그게 말이 돼? (Does That Make Sense?)",5,BTS,–,19-08-2014,No,Korean
45,"INTRO (Wake Up) (Intro)",6,BTS,–,24-12-2014,No,Japanese
46,The Stars,6,BTS,–,24-12-2014,No,Japanese
47,Wake Up,6,BTS,–,24-12-2014,Yes,Japanese
48,"Intro: 화양연화 (The Most Beautiful Moment in Life)",7,BTS,–,29-04-2015,No,Korean
49,I Need U,7,BTS,–,29-04-2015,Yes,Korean
50,"잡아줘 (Hold Me Tight)",7,BTS,–,29-04-2015,No,Korean
51,"SKIT: Expectation!",7,BTS,–,29-04-2015,No,Korean
52,"쩔어 (Dope)",7,BTS,–,29-04-2015,No,Korean
53,"흥탄소년단 (Boyz With Fun)",7,BTS,–,29-04-2015,No,Korean
54,Converse High,7,BTS,–,29-04-2015,No,Korean
55,"이사 (Moving On)","7,BTS,–,29-04-2015,No,Korean
56,"Outro: Love Is Not Over",7,BTS,–,29-04-2015,No,Korean
57,Intro: Never Mind",8,BTS,–,30-11-2015,No,Korean
58,Run,8,BTS,–,30-11-2015,Yes,Korean
59,Butterfly,8,BTS,–,30-11-2015,No,Korean
60,Whalien 52,8,BTS,–,30-11-2015,No,Korean
61,Ma City,8,BTS,–,30-11-2015,No,Korean
62,"뱁새 (Silver Spoon / Baepsae)",8,BTS,–,30-11-2015,No,Korean
63,"SKIT: One Night in a Strange City"8,BTS,–,30-11-2015,No,Korean
64,"고엽 (Autumn Leaves) (Dead Leaves)",8,BTS,–,30-11-2015,No,Korean
65,"Outro: House Of Cards (Full Length Edition)",8,BTS,–,30-11-2015,No,Korean
66,"EPILOGUE: Young Forever",9,BTS,–,02-05-2016,Yes,Korean
67,"불타오르네 (Fire)",9,BTS,–,02-05-2016,Yes,Korean
68,Save ME,9,BTS,–,02-05-2016,Yes,Korean
69,"Introduction: Youth",10,BTS,–,07-09-2016,No,Japanese
70,"Good Day (いい日)",10,BTS,–,07-09-2016,No,Japanese
71,Wishing on a Star,10,BTS,–,07-09-2016,Yes,Japanese
72,"Intro: Boy Meets Evil (Solo by j-hope)",11,BTS,–,10-10-2016,No,Korean
73,"피 땀 눈물 (Blood Sweat & Tears)",11,BTS,–,10-10-2016,Yes,Korean
74,"Begin (Jungkook Solo)",11,BTS,–,10-10-2016,No,Korean
